pid,other_pids,title,year,journal,link,type
66/549,"['160/3438', '66/549', '199/9811']",Switching-based hybrid FSO/RF transmission for DF relaying system.,2018,WCNC,https://doi.org/10.1109/WCNC.2018.8377157,inproceedings
66/549,"['199/9811', '66/549', 'n/WeeTeckNg', '04/6867']",Parameter Estimation of Convolutional and Helical Interleavers in a Noisy Environment.,2017,IEEE Access,"OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1109/ACCESS.2017.2684189')])",article
66/549,"['82/8861', '66/549', '92/249']",Diversity Gain Region of Nakagami-m Faded Z-Channel.,2017,Circuits Syst. Signal Process.,https://doi.org/10.1007/s00034-016-0390-8,article
66/549,"['199/9811', '66/549', 'n/WeeTeckNg', '04/6867']",Parameter estimation of block and helical scan interleavers in the presence of bit errors.,2017,Digit. Signal Process.,https://doi.org/10.1016/j.dsp.2016.08.006,article
66/549,"['18/8209', '66/549']",Enhanced coverage through relay assisted carrier aggregation for cellular networks.,2017,Digit. Signal Process.,https://doi.org/10.1016/j.dsp.2017.02.006,article
66/549,"['193/1679', '82/8861', '66/549']",On the DMT of RF Energy Harvesting-Based Dynamic Decode-and-Forward Relaying.,2017,IEEE Commun. Lett.,https://doi.org/10.1109/LCOMM.2016.2612218,article
66/549,"['199/9811', '66/549']",Classification of Error Correcting Codes and Estimation of Interleaver Parameters in a Noisy Transmission Environment.,2017,IEEE Trans. Broadcast.,https://doi.org/10.1109/TBC.2017.2704436,article
66/549,"['155/5051', '66/549', '79/4495']",On Joint Pareto Frontier in Multiple Access and Relay Rate Regions With Rayleigh Fading.,2017,IEEE Trans. Veh. Technol.,https://doi.org/10.1109/TVT.2016.2598578,article
66/549,"['82/8861', '66/549']",Interference mitigation in Z-channel and relay-assisted Z-channel: a diversity gain region perspective.,2017,Wirel. Networks,https://doi.org/10.1007/s11276-015-1125-7,article
66/549,"['155/5051', '66/549', 'c/FrancoisPSChin']",Subspace Based Interference Cancellation in Cooperative Multicell Transmission.,2017,VTC Spring,https://doi.org/10.1109/VTCSpring.2017.8108365,inproceedings
66/549,"['82/8861', '66/549']",On Partial Interference Cancellation with Partial Interference Forwarding.,2017,VTC Spring,https://doi.org/10.1109/VTCSpring.2017.8108360,inproceedings
66/549,"['199/9811', '66/549', '74/4514', '58/9429']",Parameter Identification of Reed-Solomon Codes over Noisy Environment.,2017,VTC-Fall,https://doi.org/10.1109/VTCFall.2017.8287916,inproceedings
66/549,"['193/1679', '66/549', '82/8861']",RF energy harvesting based relays: Non-orthogonal AF Vs dynamic DF.,2017,WPMC,https://doi.org/10.1109/WPMC.2017.8301865,inproceedings
66/549,"['174/3471', '66/549', '82/8861', '56/954']",On the Outage Analysis and Finite SNR Diversity-Multiplexing Tradeoff of Hybrid-Duplex Systems for Aeronautical Communications.,2017,CoRR,"OrderedDict([('@type', 'oa'), ('#text', 'http://arxiv.org/abs/1712.07781')])",article
66/549,"['25/10836', '82/8861', '66/549', '92/249']",Cognitive Radio for Aeronautical Communications: A Survey.,2016,IEEE Access,"OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1109/ACCESS.2016.2570802')])",article
66/549,"['82/8861', '66/549']",Full-Duplex Decode-and-Forward Relay-Assisted Interference Management: A Diversity Gain Region Perspective.,2016,IEEE Trans. Commun.,https://doi.org/10.1109/TCOMM.2015.2502598,article
66/549,"['79/8603', '66/549', '76/440']",Stackelberg Bayesian Game for Power Allocation in Two-Tier Networks.,2016,IEEE Trans. Veh. Technol.,https://doi.org/10.1109/TVT.2015.2418297,article
66/549,"['82/8861', '66/549']",On the Symbol Error Rate and Diversity Gain Region of the Relay-Assisted Z-channel.,2016,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2015.2497337,article
66/549,"['25/10836', '66/549']",Handling interference in self-organizing femtocell networks through frequency-polarization diversity.,2016,Wirel. Networks,https://doi.org/10.1007/s11276-015-0966-4,article
66/549,"['199/9811', '66/549']",Joint recognition of error correcting codes and interleaver parameters in a robust environment.,2016,PIMRC,https://doi.org/10.1109/PIMRC.2016.7794694,inproceedings
66/549,"['155/5051', '66/549', 'c/FrancoisPSChin']",Centralised and distributed interference management in coordinated downlink beam-forming.,2016,WCNC,https://doi.org/10.1109/WCNC.2016.7564683,inproceedings
66/549,"['82/8861', '66/549']",Asymmetric interference channel: Single-user codes vs multi-user codes.,2016,WPMC,http://ieeexplore.ieee.org/document/7954467,inproceedings
66/549,"['25/10836', '66/549', '14/9401']",Orthogonal circular polarized transmission for interference control in femto-macro networks.,2015,Comput. Commun.,https://doi.org/10.1016/j.comcom.2014.09.004,article
66/549,"['20/9856-7', '66/549']",Genetic Algorithm Aided Proportional Fair Resource Allocation in Multicast OFDM Systems.,2015,IEEE Trans. Broadcast.,https://doi.org/10.1109/TBC.2015.2389692,article
66/549,"['18/8209', '66/549', '18/4890']",Efficient multihop transmission scheme for error-free relay forwarding in cooperative networks.,2015,Wirel. Commun. Mob. Comput.,https://doi.org/10.1002/wcm.2381,article
66/549,"['155/5051', '66/549']",Characterising the Pareto frontier of multiple access rate region: a study on the effect of decoding order on achievable performance.,2015,Wirel. Networks,https://doi.org/10.1007/s11276-014-0863-2,article
66/549,"['25/10836', '18/8209', '66/549']",Interference mitigation through reverse frequency allocation in multi-tier cellular network: a downlink perspective.,2015,Wirel. Networks,https://doi.org/10.1007/s11276-014-0868-x,article
66/549,"['136/5098', '92/249', '66/549']",Low complexity fast filter bank-based channelization in L-DACS1 for aeronautical communications.,2015,NEWCAS,https://doi.org/10.1109/NEWCAS.2015.7181995,inproceedings
66/549,"['25/10836', '66/549', '92/249']",Cross-Polarized Complementary Frequency Allocation in Femto-Macro Networks.,2015,VTC Spring,https://doi.org/10.1109/VTCSpring.2015.7145765,inproceedings
66/549,"['82/8861', '66/549']",DMT for the Relay Assisted Interference Cancellation over Nakagami-m Fading Channel.,2015,VTC Spring,https://doi.org/10.1109/VTCSpring.2015.7145788,inproceedings
66/549,"['82/8861', '66/549']",On the Diversity Gain Region for the Relay Assisted Interference Management.,2015,VTC Spring,https://doi.org/10.1109/VTCSpring.2015.7145964,inproceedings
66/549,"['79/8603', '66/549']",Spectrum trading in cognitive radio networks with uncertainty in primary service requirements.,2014,IET Signal Process.,https://doi.org/10.1049/iet-spr.2012.0396,article
66/549,"['79/8603', '66/549']",Non-cooperative power control and spectrum allocation in cognitive radio networks: a game theoretic perspective.,2014,Wirel. Commun. Mob. Comput.,https://doi.org/10.1002/wcm.2202,article
66/549,"['25/10836', '66/549']",Enhanced energy efficiency through self-organizing femto-relay framework.,2014,ICCS,https://doi.org/10.1109/ICCS.2014.7024816,inproceedings
66/549,"['18/8209', '66/549']",Enhanced packet delivery in delay limited rateless coded multihop networks.,2014,ICCS,https://doi.org/10.1109/ICCS.2014.7024864,inproceedings
66/549,"['18/8209', '66/549']",Practical Limits of Rateless Codes in Multihop Relay Networks.,2014,VTC Spring,https://doi.org/10.1109/VTCSpring.2014.7023059,inproceedings
66/549,"['155/5051', '66/549']",Resource Allocation Strategy in Multiple Access Interference Channel.,2014,VTC Fall,https://doi.org/10.1109/VTCFall.2014.6966160,inproceedings
66/549,"['154/3534', '41/6237', '49/215', '76/440', '66/549']",Strategic device-to-device communications in backhaul-constrained wireless small cell networks.,2014,WCNC,https://doi.org/10.1109/WCNC.2014.6952479,inproceedings
66/549,"['25/10836', '66/549', '14/9401']",Interference Mitigation through Cross Polarized Transmission in Femto-Macro Network.,2013,IEEE Commun. Lett.,https://doi.org/10.1109/LCOMM.2013.090213.131482,article
66/549,"['77/10527', '92/249', '66/549', '56/954']",A tree-structured DFT filter bank based spectrum detector for estimation of radio channel edge frequencies in cognitive radios.,2013,Phys. Commun.,https://doi.org/10.1016/j.phycom.2013.06.001,article
66/549,"['18/8209', '66/549', '23/1245', '18/4890']",Spectrally Efficient Packet Recovery in Delay Constrained Rateless Coded Multihop Networks.,2013,IEEE Trans. Commun.,https://doi.org/10.1109/TCOMM.2013.091413.120485,article
66/549,"['18/8209', '66/549', '23/1245', '18/4890']",Performance Analysis of Fountain Codes in Multihop Relay Networks.,2013,IEEE Trans. Veh. Technol.,https://doi.org/10.1109/TVT.2013.2265279,article
66/549,"['18/8209', '66/549', '95/4670', '23/1245']",Impact of Implicit Feedback Channel in Cooperative Relay Networks.,2013,Wirel. Pers. Commun.,https://doi.org/10.1007/s11277-012-0552-3,article
66/549,"['18/8209', '66/549', '18/4890']",Spectrally efficient error free relay forwarding in cooperative multihop networks.,2013,PIMRC,https://doi.org/10.1109/PIMRC.2013.6666519,inproceedings
66/549,"['25/10836', '66/549', '14/9401']",Cross-Polarized Transmission for Interference Avoidance in Femto-Macro Network.,2013,VTC Fall,https://doi.org/10.1109/VTCFall.2013.6692151,inproceedings
66/549,"['18/8209', '66/549', '18/4890']",Throughput Optimization in Rateless Coded Cooperative Relay Networks.,2012,IEICE Trans. Commun.,"['https://doi.org/10.1587/transcom.E95.B.1810', 'http://search.ieice.org/bin/summary.php?id=e95-b_5_1810']",article
66/549,"['25/10836', '66/549']",Interference reduction through femto-relays.,2012,IET Commun.,https://doi.org/10.1049/iet-com.2011.0716,article
66/549,"['17/2247-1', '66/549', '41/4677', '42/1090', '01/3536', '52/3003']",Guest Editorial.,2012,J. Commun.,https://doi.org/10.4304/jcm.7.9.643-645,article
66/549,"['95/4670', '18/8209', '66/549']",ISTBC: A spectrally efficient distributed transmission scheme using incremental redundancy with space-time block coding.,2012,Phys. Commun.,https://doi.org/10.1016/j.phycom.2012.02.005,article
66/549,"['37/11062', '74/869', '81/2641', '66/549']",Design and performance analysis of a signal detector based on suprathreshold stochastic resonance.,2012,Signal Process.,https://doi.org/10.1016/j.sigpro.2012.01.013,article
66/549,"['92/7819', '81/2641', '66/549']",A random finite set approach for tracking time-varying number of acoustic sources using a single acoustic vector sensor.,2012,ICASSP,https://doi.org/10.1109/ICASSP.2012.6288458,inproceedings
66/549,"['18/8209', '66/549', '95/4670']",Incremental space-time block codes with error protection for cooperative relay networks.,2012,ICCS,https://doi.org/10.1109/ICCS.2012.6406102,inproceedings
66/549,"['25/10836', '18/8209', '66/549']",Downlink capacity improvement and interference reduction through Reverse Frequency Allocation.,2012,ICCS,https://doi.org/10.1109/ICCS.2012.6406164,inproceedings
66/549,"['47/561', '81/2641', '66/549']",A study on the performance of multifilter bank based Cognitive Radio transceiver for multi-user applications.,2012,ICCS,https://doi.org/10.1109/ICCS.2012.6406185,inproceedings
66/549,"['77/10527', '92/249', '66/549', '56/954']",A robust two-stage spectrum sensing method using filter bank based energy detector and fourth order cumulants for cognitive radios.,2012,ICCS,https://doi.org/10.1109/ICCS.2012.6406186,inproceedings
66/549,"['82/8861', '66/549', '20/10398']",Performance analysis of Z-channel with relay under Rayleigh fading and discrete constellations.,2012,WCNC,https://doi.org/10.1109/WCNC.2012.6214507,inproceedings
66/549,"['18/8209', '66/549', '18/4890']",Adaptive rateless coding with feedback for cooperative relay networks.,2012,WCNC,https://doi.org/10.1109/WCNC.2012.6214436,inproceedings
66/549,"['79/8603', '95/4670', '66/549']",A Cooperative Spectrum Sensing Technique with Dynamic Frequency Boundary Detection and Information-Entropy-Fusion for Primary User Detection.,2011,Circuits Syst. Signal Process.,https://doi.org/10.1007/s00034-011-9305-x,article
66/549,"['88/7883', '81/2641', '62/8894', '66/549']",Preprocessing for analog signal conversion using novel number system.,2011,Digit. Signal Process.,https://doi.org/10.1016/j.dsp.2010.04.004,article
66/549,"['88/7883', '81/2641', '66/549']",Error Detection and Correction in Communication Channels Using Inverse Gray RSNS Codes.,2011,IEEE Trans. Commun.,https://doi.org/10.1109/TCOMM.2011.022811.100092,article
66/549,"['18/8209', '66/549', '95/4670', '23/1245']",Throughput Optimization in Cooperative Communications Based on Incremental Relaying.,2011,IEEE Trans. Veh. Technol.,https://doi.org/10.1109/TVT.2010.2089997,article
66/549,"['23/1245', '66/549', 'c/FrancoisPSChin']",Low Complexity Antenna Selection Scheme for Multicarrier MIMO Broadcast Communication.,2011,J. Signal Process. Syst.,https://doi.org/10.1007/s11265-009-0347-2,article
66/549,"['52/739', '66/549', '81/2641', '12/2450', '17/6861']",Enhancing Data Rates of TH-UWB Systems Using M-ary OPPM-BPSM Modulation Scheme: A System Perspective.,2011,Wirel. Pers. Commun.,https://doi.org/10.1007/s11277-010-9991-x,article
66/549,"['92/7819', '81/2641', '66/549']",Direction of arrival tracking in impulsive noise using particle filtering with fractional lower order moment likelihood.,2011,ICICS,https://doi.org/10.1109/ICICS.2011.6174240,inproceedings
66/549,"['92/7819', '81/2641', '66/549']",Particle filtering for 2-D direction of arrival tracking using an acoustic vector sensor.,2011,EUSIPCO,http://ieeexplore.ieee.org/document/7074064/,inproceedings
66/549,"['92/7819', '81/2641', '66/549', '30/6609']",Multi-modality likelihood based particle filtering for 2-D direction of arrival tracking using a single acoustic vector sensor.,2011,ICME,"['https://doi.org/10.1109/ICME.2011.6011965', 'http://doi.ieeecomputersociety.org/10.1109/ICME.2011.6011965']",inproceedings
66/549,"['25/10836', '66/549']",Femto-relays: A power efficient coverage extension mechanism for femtocells.,2011,PIMRC,https://doi.org/10.1109/PIMRC.2011.6140115,inproceedings
66/549,"['18/8209', '66/549', '23/1245', '95/4670']",Effects of Delay Constraints on Multihop Networks Using Rateless Codes.,2011,VTC Spring,https://doi.org/10.1109/VETECS.2011.5956621,inproceedings
66/549,"['18/8209', '66/549', '23/1245', '95/4670']",Implicit feedback assisted outage minimization for cooperative relay networks.,2011,WCNC,https://doi.org/10.1109/WCNC.2011.5779321,inproceedings
66/549,"['88/7883', '81/2641', '66/549']",Reduced complexity analogue-to-residue conversion employing folding number system.,2010,IET Circuits Devices Syst.,https://doi.org/10.1049/iet-cds.2009.0129,article
66/549,"['95/4670', '66/549', '81/2641', '18/4890']",Estimation of CSI for LST BS-CDMA systems using special sequences with pre-defined spectral nulls.,2010,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2010.03.081452,article
66/549,"['23/1245', '66/549', 'c/FrancoisPSChin']",Performance analysis of distributed transmission schemes in cooperative random networks.,2010,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2010.04.081605,article
66/549,"['88/7883', '81/2641', '66/549']",A novel approach for preprocessing analog signal using number theoretic transform.,2010,ICASSP,https://doi.org/10.1109/ICASSP.2010.5495768,inproceedings
66/549,"['77/10527', '92/249', '66/549', '56/954']",An algorithm for spectrum sensing in cognitive radio using tree-structured filter bank.,2010,ICT,https://doi.org/10.1109/ICTEL.2010.5478782,inproceedings
66/549,"['77/10527', '92/249', '66/549', '56/954']",A tree-structured DFT filter bank based spectrum sensor for estimation of radio channel edge frequencies in military wideband receivers.,2010,ISSPA,https://doi.org/10.1109/ISSPA.2010.5605596,inproceedings
66/549,"['18/8209', '66/549', '95/4670', '23/1245']",Incremental code relaying in a location aware wireless relay network.,2010,PIMRC,https://doi.org/10.1109/PIMRC.2010.5671599,inproceedings
66/549,"['82/8861', '95/4670', '66/549']",SLAR: A smart regenerative cooperative protocol with improved power and spectral efficiency.,2010,PIMRC,https://doi.org/10.1109/PIMRC.2010.5671680,inproceedings
66/549,"['18/8209', '66/549', '23/1245', '95/4670']",Spectrally Efficient Cooperative Scheme with Implicit Feedback Assisted Transmission.,2010,VTC Fall,https://doi.org/10.1109/VETECF.2010.5594323,inproceedings
66/549,"['52/739', '66/549', '19/1908', '18/671']",Power Spectral Analysis of Orthogonal Pulse-Based TH-UWB Signals.,2010,VTC Spring,"['https://doi.org/10.1109/VETECS.2010.5493877', 'https://www.wikidata.org/entity/Q62624515']",inproceedings
66/549,"['79/8603', '66/549', '95/4670', '08/4581']","Cognitive Radios in Cooperative Environment: Detection, Sensing and Clustering of Spectral Bands.",2010,VTC Fall,https://doi.org/10.1109/VETECF.2010.5594275,inproceedings
66/549,"['66/549', '17/2247', 'c/FrancoisPSChin', '81/2641']",Decision feedback data detection in frequency domain for single carrier cyclic prefix assisted CDMA systems: A sequential quadratic programming approach.,2009,Digit. Signal Process.,https://doi.org/10.1016/j.dsp.2008.09.001,article
66/549,"['42/5460', '66/549', 'c/FrancoisPSChin', '49/3937']",Block spreading CDMA system: a simplified scheme using despreading before equalisation for broadband uplink transmission.,2009,IET Commun.,https://doi.org/10.1049/iet-com.2007.0536,article
66/549,"['38/7532', '66/549', '81/2641']",A robust symmetrical number system based parallel communication system with inherent error detection and correction.,2009,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2009.070783,article
66/549,"['88/7883', '81/2641', '66/549']",Design of Low Hardware Complexity Filter Banks for Communications Systems Employing Folding Number System.,2009,GLOBECOM,https://doi.org/10.1109/GLOCOM.2009.5425224,inproceedings
66/549,"['23/1245', '66/549', 'c/FrancoisPSChin']",Low Complexity Antenna Selection Scheme for Multiuser MIMO Broadcast Systems.,2009,ICC,https://doi.org/10.1109/ICC.2009.5199149,inproceedings
66/549,"['88/7883', '81/2641', '66/549']",Efficient Sample Rate Conversion in Software Radio Employing Folding Number System.,2009,ICC,https://doi.org/10.1109/ICC.2009.5198979,inproceedings
66/549,"['18/8209', '23/1245', '66/549']",Incremental Code Relaying Protocol for Cooperative Communications.,2009,VTC Fall,https://doi.org/10.1109/VETECF.2009.5378915,inproceedings
66/549,"['23/1245', '66/549', 'c/FrancoisPSChin']",Heuristic Antenna Selection Algorithm for Multiuser Multi-Antenna Downlink.,2009,VTC Spring,https://doi.org/10.1109/VETECS.2009.5073576,inproceedings
66/549,"['52/739', '66/549', '81/2641', '17/6861']",Combining OOK with PSM Modulation for Simple Transceiver of Orthogonal Pulse-Based TH-UWB Systems.,2008,EURASIP J. Wirel. Commun. Netw.,"[OrderedDict([('@type', 'oa'), ('#text', 'https://doi.org/10.1155/2008/735410')]), 'https://www.wikidata.org/entity/Q59218095']",article
66/549,"['42/5460', '95/4670', 'c/FrancoisPSChin', '66/549']",Novel interference cancellation methods for BS-CDMA in uplink broadband mobile communication systems.,2008,IEEE Commun. Lett.,https://doi.org/10.1109/LCOMM.2008.080549,article
66/549,"['36/677', '81/2641', '66/549']",Pulse shaping functions for UWK systems.,2008,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2008.061060,article
66/549,"['95/4670', '66/549', '81/2641']",MIMO Block Spread CDMA Systems for Broadband Wireless Communications.,2008,IEEE Trans. Wirel. Commun.,https://doi.org/10.1109/TWC.2008.060205,article
66/549,"['52/739', '12/2450', '66/549', '81/2641']",Theoretical Capacity Analysis of TH-UWB Systems for Orthogonal Pulse Based Modulation Schemes.,2008,VTC Fall,https://doi.org/10.1109/VETECF.2008.416,inproceedings
